회사명,거래소코드,회계년도,종업원수증가율
(주)CMG제약,58820,2011/12,4.65
(주)CMG제약,58820,2012/12,-0.74
(주)CMG제약,58820,2013/12,1.49
(주)CMG제약,58820,2014/12,20.59
(주)CMG제약,58820,2015/12,-4.88
(주)CMG제약,58820,2016/12,2.56
(주)CMG제약,58820,2017/12,25.0
(주)CMG제약,58820,2018/12,11.0
(주)CMG제약,58820,2019/12,8.56
(주)CMG제약,58820,2020/12,-1.66
(주)DB하이텍,990,2011/12,5.38
(주)DB하이텍,990,2012/12,-10.25
(주)DB하이텍,990,2013/12,-7.03
(주)DB하이텍,990,2014/12,-6.68
(주)DB하이텍,990,2015/12,0.25
(주)DB하이텍,990,2016/12,2.15
(주)DB하이텍,990,2017/12,-5.23
(주)DB하이텍,990,2018/12,0.77
(주)DB하이텍,990,2019/12,1.23
(주)DB하이텍,990,2020/12,1.67
(주)ES큐브,50120,2011/12,20.3
(주)ES큐브,50120,2012/12,-0.42
(주)ES큐브,50120,2013/12,-57.63
(주)ES큐브,50120,2014/12,-73.0
(주)ES큐브,50120,2015/12,44.44
(주)ES큐브,50120,2016/12,-23.08
(주)ES큐브,50120,2017/12,16.67
(주)ES큐브,50120,2018/12,-14.29
(주)ES큐브,50120,2019/12,0.0
(주)ES큐브,50120,2020/12,-20.0
(주)HJ중공업,97230,2011/12,-19.81
(주)HJ중공업,97230,2012/12,-5.42
(주)HJ중공업,97230,2013/12,4.71
(주)HJ중공업,97230,2014/12,-7.76
(주)HJ중공업,97230,2015/12,3.46
(주)HJ중공업,97230,2016/12,-6.04
(주)HJ중공업,97230,2017/12,0.81
(주)HJ중공업,97230,2018/12,-8.9
(주)HJ중공업,97230,2019/12,-11.23
(주)HJ중공업,97230,2020/12,-3.57
(주)MH에탄올,23150,2011/12,-3.77
(주)MH에탄올,23150,2012/12,1.96
(주)MH에탄올,23150,2013/12,-1.92
(주)MH에탄올,23150,2014/12,3.92
(주)MH에탄올,23150,2015/12,-11.32
(주)MH에탄올,23150,2016/12,-8.51
(주)MH에탄올,23150,2017/12,11.63
(주)MH에탄올,23150,2018/12,4.17
(주)MH에탄올,23150,2019/12,-6.0
(주)MH에탄올,23150,2020/12,14.89
(주)SH에너지화학,2360,2011/12,-1.8
(주)SH에너지화학,2360,2012/12,2.75
(주)SH에너지화학,2360,2013/12,3.57
(주)SH에너지화학,2360,2014/12,20.69
(주)SH에너지화학,2360,2015/12,4.29
(주)SH에너지화학,2360,2016/12,1.37
(주)SH에너지화학,2360,2017/12,0.0
(주)SH에너지화학,2360,2018/12,5.41
(주)SH에너지화학,2360,2019/12,1.28
(주)SH에너지화학,2360,2020/12,1.9
(주)SIMPAC,9160,2011/12,11.74
(주)SIMPAC,9160,2012/12,7.0
(주)SIMPAC,9160,2013/12,0.73
(주)SIMPAC,9160,2014/12,10.11
(주)SIMPAC,9160,2015/12,-2.95
(주)SIMPAC,9160,2016/12,3.38
(주)SIMPAC,9160,2017/12,-0.33
(주)SIMPAC,9160,2018/12,63.93
(주)SIMPAC,9160,2019/12,-1.8
(주)SIMPAC,9160,2020/12,-1.43
(주)SNT에너지,100840,2011/12,2.22
(주)SNT에너지,100840,2012/12,5.98
(주)SNT에너지,100840,2013/12,7.18
(주)SNT에너지,100840,2014/12,4.31
(주)SNT에너지,100840,2015/12,6.42
(주)SNT에너지,100840,2016/12,-6.03
(주)SNT에너지,100840,2017/12,-10.55
(주)SNT에너지,100840,2018/12,-2.56
(주)SNT에너지,100840,2019/12,0.53
(주)SNT에너지,100840,2020/12,0.52
(주)SNT홀딩스,36530,2011/12,0.0
(주)SNT홀딩스,36530,2012/12,0.0
(주)SNT홀딩스,36530,2013/12,-11.11
(주)SNT홀딩스,36530,2014/12,0.0
(주)SNT홀딩스,36530,2015/12,0.0
(주)SNT홀딩스,36530,2016/12,0.0
(주)SNT홀딩스,36530,2017/12,-12.5
(주)SNT홀딩스,36530,2018/12,42.86
(주)SNT홀딩스,36530,2019/12,0.0
(주)SNT홀딩스,36530,2020/12,-10.0
(주)STX,11810,2011/12,-39.04
(주)STX,11810,2012/12,-4.34
(주)STX,11810,2013/12,-52.8
(주)STX,11810,2014/12,-29.94
(주)STX,11810,2015/12,2.42
(주)STX,11810,2016/12,-5.51
(주)STX,11810,2017/12,-0.83
(주)STX,11810,2018/12,-7.56
(주)STX,11810,2019/12,5.45
(주)STX,11810,2020/12,-26.72
(주)TCC스틸,2710,2011/12,-2.78
(주)TCC스틸,2710,2012/12,1.27
(주)TCC스틸,2710,2013/12,-2.51
(주)TCC스틸,2710,2014/12,-1.61
(주)TCC스틸,2710,2015/12,-8.17
(주)TCC스틸,2710,2016/12,-1.42
(주)TCC스틸,2710,2017/12,2.17
(주)TCC스틸,2710,2018/12,-2.12
(주)TCC스틸,2710,2019/12,-0.72
(주)TCC스틸,2710,2020/12,-1.45
(주)가비아,79940,2011/12,23.23
